lsoa.code,lsoa.popn
E01027389,1624
E01027378,1065
E01027379,1373
E01027380,1411
E01027382,1683
E01027386,1356
E01027374,2054
E01027375,1773
E01027381,1851
E01027383,1342
E01027384,1443
E01027390,1978
E01027356,1724
E01027357,1345
E01027366,1522
E01027367,2050
E01027358,2007
E01027359,2335
E01033715,1037
E01033717,1409
E01027361,2103
E01027362,1256
E01027363,1195
E01027364,2050
E01027370,1834
E01027371,1833
E01027372,2117
E01027365,2193
E01027368,1764
E01027369,1545
E01027373,2004
E01027443,1482
E01027444,2475
E01027445,1618
E01027446,1368
E01027451,1859
E01027474,1895
E01027475,1412
E01027541,1780
E01027542,1803
E01027543,1347
E01027544,1361
E01027528,1275
E01027529,1154
E01027539,1728
E01027545,2060
E01027546,1739
E01027457,1582
E01027462,1888
E01027463,1711
E01027524,1462
E01027525,1701
E01027526,1271
E01027527,1315
E01027536,1459
E01027533,1709
E01027540,1902
E01027549,1574
E01033716,2386
E01027532,1893
E01027537,1373
E01027538,1803
E01027447,1779
E01027448,1940
E01027450,1646
E01027473,1755
E01027452,1427
E01027453,1420
E01027461,1340
E01033718,2083
E01027530,1448
E01027531,1706
E01027534,1911
E01027535,1431
E01027553,1643
E01027554,1335
E01027455,1524
E01027456,1338
E01027458,1601
E01027460,1674
E01027479,2315
E01027480,1221
E01027503,1759
E01027511,1107
E01027515,1432
E01027517,1924
E01027518,1464
E01027519,1449
E01027550,1279
E01027551,1447
E01027552,1259
E01027514,1593
E01027516,1257
E01027520,1504
E01027521,1712
E01027522,1287
E01027523,1150
E01027392,1702
E01027393,1547
E01027416,1569
E01027424,2066
E01027414,1470
E01027415,1661
E01027431,1717
E01027441,2015
E01027442,1573
E01027391,1504
E01027422,1852
E01027423,1514
E01027429,1856
E01027430,1636
E01027425,2295
E01027426,1552
E01027427,1661
E01027428,1542
E01027437,1816
E01027438,1493
E01027439,1961
E01027440,1423
E01027400,1367
E01027401,1502
E01027402,1336
E01027403,1187
E01027395,1496
E01027396,1392
E01027397,1404
E01027399,1518
E01027404,1538
E01027405,1444
E01027398,2314
E01027409,1536
E01027411,1352
E01027412,1572
E01027413,1871
E01027417,1522
E01027418,1851
E01027419,1554
E01027420,1408
E01027421,1466
E01027394,1153
E01027406,1283
E01027407,1278
E01027408,1282
E01027410,1616
E01027432,1549
E01027433,1686
E01027434,1399
E01027435,1432
E01027436,1555
E01027464,1355
E01027465,1492
E01027466,1208
E01033714,2449
E01027449,1561
E01027468,1268
E01027469,1463
E01027471,1677
E01027472,1812
E01027476,2317
E01027489,1605
E01027490,1839
E01027491,1597
E01027492,1868
E01027493,1624
E01027494,2240
E01027483,1386
E01027496,1221
E01027508,1088
E01027513,1926
E01027484,2276
E01027485,1493
E01027486,1153
E01027487,1145
E01027512,1039
E01027497,2709
E01027498,2677
E01027499,1486
E01027500,1688
E01027501,1092
E01027502,1242
E01027481,1649
E01027482,1521
E01027504,1990
E01027506,1152
E01027507,1386
E01027509,1362
E01027477,1217
E01027478,1076
E01027488,2181
E01027495,1080
E01027505,1403
E01027510,1167
E06000003,135164
E01012100,1607
E01012101,1507
E01012102,2233
E01012184,1483
E01012105,1374
E01012142,1699
E01012143,1279
E01012144,1387
E01012106,1375
E01012107,1403
E01032560,1065
E01032561,1545
E01012176,1425
E01012177,1487
E01012178,1424
E01012179,1479
E01012180,1791
E01012185,1462
E01012186,1638
E01012127,1043
E01012128,1119
E01012129,2184
E01012130,1286
E01012131,1422
E01012138,2696
E01012139,1944
E01012140,1335
E01012141,1095
E01012154,1260
E01012155,1474
E01012156,1736
E01012157,1627
E01012158,1411
E01012159,1609
E01012160,1433
E01012161,1485
E01012113,1438
E01012114,1401
E01012175,1429
E01033471,2287
E01012095,1353
E01012097,1184
E01012098,1305
E01012099,1569
E01012108,1462
E01012109,1397
E01012110,1391
E01012111,1283
